Date_reported,Country_code,Country,WHO_region,International_cases,National_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020/1/20,TW,Taiwan,WPRO,0,0,0,0,0
2020/1/21,TW,Taiwan,WPRO,1,0,1,0,0
2020/1/22,TW,Taiwan,WPRO,0,0,1,0,0
2020/1/23,TW,Taiwan,WPRO,0,0,1,0,0
2020/1/24,TW,Taiwan,WPRO,2,0,3,0,0
2020/1/25,TW,Taiwan,WPRO,0,0,3,0,0
2020/1/26,TW,Taiwan,WPRO,1,0,4,0,0
2020/1/27,TW,Taiwan,WPRO,1,0,5,0,0
2020/1/28,TW,Taiwan,WPRO,2,1,8,0,0
2020/1/29,TW,Taiwan,WPRO,0,0,8,0,0
2020/1/30,TW,Taiwan,WPRO,0,1,9,0,0
2020/1/31,TW,Taiwan,WPRO,1,0,10,0,0
2020/2/1,TW,Taiwan,WPRO,0,0,10,0,0
2020/2/2,TW,Taiwan,WPRO,0,0,10,0,0
2020/2/3,TW,Taiwan,WPRO,0,0,10,0,0
2020/2/4,TW,Taiwan,WPRO,1,0,11,0,0
2020/2/5,TW,Taiwan,WPRO,0,0,11,0,0
2020/2/6,TW,Taiwan,WPRO,5,0,16,0,0
2020/2/7,TW,Taiwan,WPRO,0,0,16,0,0
2020/2/8,TW,Taiwan,WPRO,1,0,17,0,0
2020/2/9,TW,Taiwan,WPRO,1,0,18,0,0
2020/2/10,TW,Taiwan,WPRO,0,0,18,0,0
2020/2/11,TW,Taiwan,WPRO,0,0,18,0,0
2020/2/12,TW,Taiwan,WPRO,0,0,18,0,0
2020/2/13,TW,Taiwan,WPRO,0,0,18,0,0
2020/2/14,TW,Taiwan,WPRO,0,0,18,0,0
2020/2/15,TW,Taiwan,WPRO,0,0,18,0,0
2020/2/16,TW,Taiwan,WPRO,0,2,20,1,1
2020/2/17,TW,Taiwan,WPRO,0,2,22,0,1
2020/2/18,TW,Taiwan,WPRO,0,0,22,0,1
2020/2/19,TW,Taiwan,WPRO,0,2,24,0,1
2020/2/20,TW,Taiwan,WPRO,0,0,24,0,1
2020/2/21,TW,Taiwan,WPRO,0,2,26,0,1
2020/2/22,TW,Taiwan,WPRO,0,0,26,0,1
2020/2/23,TW,Taiwan,WPRO,0,2,28,0,1
2020/2/24,TW,Taiwan,WPRO,0,2,30,0,1
2020/2/25,TW,Taiwan,WPRO,0,1,31,0,1
2020/2/26,TW,Taiwan,WPRO,0,1,32,0,1
2020/2/27,TW,Taiwan,WPRO,0,0,32,0,1
2020/2/28,TW,Taiwan,WPRO,1,1,34,0,1
2020/2/29,TW,Taiwan,WPRO,1,4,39,0,1
2020/3/1,TW,Taiwan,WPRO,1,0,40,0,1
2020/3/2,TW,Taiwan,WPRO,0,1,41,0,1
2020/3/3,TW,Taiwan,WPRO,0,1,42,0,1
2020/3/4,TW,Taiwan,WPRO,0,0,42,0,1
2020/3/5,TW,Taiwan,WPRO,1,1,44,0,1
2020/3/6,TW,Taiwan,WPRO,0,1,45,0,1
2020/3/7,TW,Taiwan,WPRO,0,0,45,0,1
2020/3/8,TW,Taiwan,WPRO,0,0,45,0,1
2020/3/9,TW,Taiwan,WPRO,0,0,45,0,1
2020/3/10,TW,Taiwan,WPRO,1,1,47,0,1
2020/3/11,TW,Taiwan,WPRO,1,0,48,0,1
2020/3/12,TW,Taiwan,WPRO,1,0,49,0,1
2020/3/13,TW,Taiwan,WPRO,0,1,50,0,1
2020/3/14,TW,Taiwan,WPRO,3,0,53,0,1
2020/3/15,TW,Taiwan,WPRO,6,0,59,0,1
2020/3/16,TW,Taiwan,WPRO,8,0,67,0,1
2020/3/17,TW,Taiwan,WPRO,10,0,77,0,1
2020/3/18,TW,Taiwan,WPRO,21,2,100,0,1
2020/3/19,TW,Taiwan,WPRO,7,1,108,0,1
2020/3/20,TW,Taiwan,WPRO,24,3,135,1,2
2020/3/21,TW,Taiwan,WPRO,18,0,153,0,2
2020/3/22,TW,Taiwan,WPRO,13,3,169,0,2
2020/3/23,TW,Taiwan,WPRO,25,1,195,0,2
2020/3/24,TW,Taiwan,WPRO,20,1,216,0,2
2020/3/25,TW,Taiwan,WPRO,19,0,235,0,2
2020/3/26,TW,Taiwan,WPRO,15,2,252,0,2
2020/3/27,TW,Taiwan,WPRO,15,0,267,0,2
2020/3/28,TW,Taiwan,WPRO,14,2,283,0,2
2020/3/29,TW,Taiwan,WPRO,14,1,298,0,2
2020/3/30,TW,Taiwan,WPRO,7,1,306,3,5
2020/3/31,TW,Taiwan,WPRO,14,2,322,0,5
2020/4/1,TW,Taiwan,WPRO,7,0,329,0,5
2020/4/2,TW,Taiwan,WPRO,8,2,339,0,5
2020/4/3,TW,Taiwan,WPRO,7,2,348,0,5
2020/4/4,TW,Taiwan,WPRO,6,1,355,0,5
2020/4/5,TW,Taiwan,WPRO,8,0,363,0,5
2020/4/6,TW,Taiwan,WPRO,9,1,373,0,5
2020/4/7,TW,Taiwan,WPRO,3,0,376,0,5
2020/4/8,TW,Taiwan,WPRO,2,1,379,0,5
2020/4/9,TW,Taiwan,WPRO,0,1,380,0,5
2020/4/10,TW,Taiwan,WPRO,2,0,382,1,6
2020/4/11,TW,Taiwan,WPRO,3,0,385,0,6
2020/4/12,TW,Taiwan,WPRO,2,1,388,0,6
2020/4/13,TW,Taiwan,WPRO,5,0,393,0,6
2020/4/14,TW,Taiwan,WPRO,0,0,393,0,6
2020/4/15,TW,Taiwan,WPRO,2,0,395,0,6
2020/4/16,TW,Taiwan,WPRO,0,0,395,0,6
2020/4/17,TW,Taiwan,WPRO,0,0,395,0,6
2020/4/18,TW,Taiwan,WPRO,0,0,395,0,6
2020/4/19,TW,Taiwan,WPRO,1,0,396,0,6
2020/4/20,TW,Taiwan,WPRO,2,0,398,0,6
2020/4/21,TW,Taiwan,WPRO,0,0,398,0,6
2020/4/22,TW,Taiwan,WPRO,0,0,398,0,6
2020/4/23,TW,Taiwan,WPRO,0,0,398,0,6
2020/4/24,TW,Taiwan,WPRO,0,0,398,0,6
2020/4/25,TW,Taiwan,WPRO,0,0,398,0,6
2020/4/26,TW,Taiwan,WPRO,0,0,398,0,6
2020/4/27,TW,Taiwan,WPRO,0,0,398,0,6
2020/4/28,TW,Taiwan,WPRO,0,0,398,0,6
2020/4/29,TW,Taiwan,WPRO,0,0,398,0,6
2020/4/30,TW,Taiwan,WPRO,0,0,398,0,6
2020/5/1,TW,Taiwan,WPRO,0,0,398,0,6
2020/5/2,TW,Taiwan,WPRO,3,0,401,0,6
2020/5/3,TW,Taiwan,WPRO,0,0,401,0,6
2020/5/4,TW,Taiwan,WPRO,1,0,402,0,6
2020/5/5,TW,Taiwan,WPRO,0,0,402,0,6
2020/5/6,TW,Taiwan,WPRO,1,0,403,0,6
2020/5/7,TW,Taiwan,WPRO,1,0,404,0,6
2020/5/8,TW,Taiwan,WPRO,0,0,404,0,6
2020/5/9,TW,Taiwan,WPRO,0,0,404,0,6
2020/5/10,TW,Taiwan,WPRO,0,0,404,0,6
2020/5/11,TW,Taiwan,WPRO,0,0,404,1,7
2020/5/12,TW,Taiwan,WPRO,0,0,404,0,7
2020/5/13,TW,Taiwan,WPRO,0,0,404,0,7
2020/5/14,TW,Taiwan,WPRO,0,0,404,0,7
2020/5/15,TW,Taiwan,WPRO,0,0,404,0,7
2020/5/16,TW,Taiwan,WPRO,0,0,404,0,7
2020/5/17,TW,Taiwan,WPRO,0,0,404,0,7
2020/5/18,TW,Taiwan,WPRO,0,0,404,0,7
2020/5/19,TW,Taiwan,WPRO,0,0,404,0,7
2020/5/20,TW,Taiwan,WPRO,0,0,404,0,7
2020/5/21,TW,Taiwan,WPRO,1,0,405,0,7
2020/5/22,TW,Taiwan,WPRO,0,0,405,0,7
2020/5/23,TW,Taiwan,WPRO,0,0,405,0,7
2020/5/24,TW,Taiwan,WPRO,0,0,405,0,7
2020/5/25,TW,Taiwan,WPRO,0,0,405,0,7
2020/5/26,TW,Taiwan,WPRO,0,0,405,0,7
2020/5/27,TW,Taiwan,WPRO,0,0,405,0,7
2020/5/28,TW,Taiwan,WPRO,0,0,405,0,7
2020/5/29,TW,Taiwan,WPRO,1,0,406,0,7
2020/5/30,TW,Taiwan,WPRO,0,0,406,0,7
2020/5/31,TW,Taiwan,WPRO,0,0,406,0,7
2020/6/1,TW,Taiwan,WPRO,1,0,407,0,7
2020/6/2,TW,Taiwan,WPRO,0,0,407,0,7
2020/6/3,TW,Taiwan,WPRO,0,0,407,0,7
2020/6/4,TW,Taiwan,WPRO,0,0,407,0,7
2020/6/5,TW,Taiwan,WPRO,0,0,407,0,7
2020/6/6,TW,Taiwan,WPRO,0,0,407,0,7
2020/6/7,TW,Taiwan,WPRO,0,0,407,0,7
2020/6/8,TW,Taiwan,WPRO,0,0,407,0,7
